mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_alpha,param_min_samples_leaf,param_min_samples_split,param_n_estimators
0.2593872547149658,0.01593550211802083,0.009376096725463866,0.007655550966804701,"{'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",-846.3114416749218,-710.317353426052,-824.3814087826781,-707.7550875264964,-808.5610410981628,-779.4652665016623,58.7472871261906,22,,10,10,100
0.2656379699707031,0.009882947106972578,0.012500524520874023,0.006250262348426932,"{'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 100}",-846.3114416749218,-710.317353426052,-824.3814087826781,-707.7550875264964,-808.5610410981628,-779.4652665016623,58.7472871261906,22,,10,15,100
0.26914095878601074,0.01849153106208136,0.015380144119262695,0.0019225645569060888,"{'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}",-846.3114416749218,-710.317353426052,-824.3814087826781,-707.7550875264964,-808.5610410981628,-779.4652665016623,58.7472871261906,22,,10,2,100
0.029819631576538087,0.005917393954776034,0.003002023696899414,0.0006327113530845986,"{'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}",-879.2718796503287,-726.2242301027349,-835.7346462235273,-723.8148733803926,-868.6892482494077,-806.7469755212782,68.26219747069649,25,,10,2,10
0.028126287460327148,0.0062507629630971,0.006250572204589844,0.007655356274595231,"{'min_samples_leaf': 10, 'min_samples_split': 15, 'n_estimators': 10}",-879.2718796503287,-726.2242301027349,-835.7346462235273,-723.8148733803926,-868.6892482494077,-806.7469755212782,68.26219747069649,25,,10,15,10
0.025001096725463866,0.0076548695996357915,0.0,0.0,"{'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 10}",-879.2718796503287,-726.2242301027349,-835.7346462235273,-723.8148733803926,-868.6892482494077,-806.7469755212782,68.26219747069649,25,,10,10,10
0.0031251430511474608,0.0062502861022949215,0.0031251907348632812,0.0062503814697265625,"{'min_samples_leaf': 3, 'min_samples_split': 10}",-864.9067168552398,-772.5754072544403,-858.3529839261073,-820.3327837706449,-890.9191650187792,-841.4174113650424,41.16495537696291,1,,3,10,
0.0,0.0,0.003124713897705078,0.006249427795410156,"{'min_samples_leaf': 12, 'min_samples_split': 10}",-875.4861927332348,-762.7724798227158,-916.7228854026259,-780.5870975602394,-899.4605359177976,-847.0058382873227,63.134460240577376,2,,12,10,
0.003125,0.006250000000000001,0.003125572204589844,0.006251144409179688,"{'min_samples_leaf': 12, 'min_samples_split': 2}",-875.4861927332348,-762.7724798227158,-916.7228854026259,-780.5870975602394,-899.4605359177976,-847.0058382873227,63.134460240577376,2,,12,2,
0.0,0.0,0.006251001358032226,0.007655882086336935,"{'min_samples_leaf': 12, 'min_samples_split': 20}",-875.4861927332348,-762.7724798227158,-916.7228854026259,-780.5870975602394,-899.4605359177976,-847.0058382873227,63.134460240577376,2,,12,20,
0.0062502861022949215,0.00765500584851583,0.0,0.0,"{'min_samples_leaf': 3, 'min_samples_split': 2}",-875.728837846452,-798.9192577840483,-840.1511100331496,-880.3994756493479,-888.1099934708952,-856.6617349567787,33.23498793372971,5,,3,2,
0.006248903274536133,0.0076533128615744765,0.0031266212463378906,0.006253242492675781,"{'min_samples_leaf': 3, 'min_samples_split': 20}",-902.1313602159805,-809.4019119849909,-891.3088333466466,-823.0852098384056,-906.0347327072318,-866.3924096186511,41.45610911407175,6,,3,20,
0.0062504768371582035,0.007655239451546515,0.0,0.0,{},-1003.9643379408161,-925.1778744681671,-870.1945288281165,-780.9879662623922,-853.3550764759809,-886.7359567950946,74.55308698129149,1,,,,
0.003125,0.006250000000000001,0.0031250953674316407,0.006250190734863282,{'alpha': 0.5},-995.9912510244877,-923.3984915474911,-873.9338286374209,-788.8532891167494,-856.717408404803,-887.7788537461904,69.16855783667037,1,0.5,,,
0.0031251907348632812,0.0062503814697265625,0.0031252384185791017,0.006250476837158203,{'alpha': 1},-990.1207076057563,-924.9317233832504,-878.9128361015131,-796.9364712593023,-861.4883758357225,-890.4780228371089,64.5598902698957,2,1,,,
0.006250238418579102,0.007654947451471001,0.0,0.0,{'alpha': 2},-982.178022352656,-932.1696176654269,-890.2458865136317,-812.9634831396124,-872.5378077814962,-898.0189634905648,56.90897842838917,3,2,,,
0.0031252384185791017,0.0062504768371582035,0.0,0.0,{'alpha': 5},-975.1517379801672,-962.0782261182044,-926.910591862813,-857.6519402895433,-907.2008190033507,-925.7986630508155,41.81632387798172,4,5,,,
